"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"14-3-3zeta","FBgn0004907","Maybe TF","","",""
"ab","FBgn0264442","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"abd-A","FBgn0000014","DNA-binding with transcription factor activity","Homeobox","High","TFscore=1"
"Abd-B","FBgn0000015","DNA-binding with transcription factor activity","Homeobox","High","TFscore=1"
"abo","FBgn0000018","Chromatin regulation","","",""
"ac","FBgn0000022","DNA-binding with transcription factor activity","HLH","High","TFscore=2"
"Acf1","FBgn0027620","DNA-binding with transcription factor activity","","High",""
"achi","FBgn0033749","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"acj6","FBgn0000028","DNA-binding with transcription factor activity","Homeobox|Pou","High","TFscore=1"
"Ada2a","FBgn0263738","DNA-binding with transcription factor activity","","Medium",""
"Ada2b","FBgn0037555","DNA-binding with transcription factor activity","Myb_DNA-binding","Medium","TFscore=6"
"ADD1","FBgn0026573","DNA-binding with transcription factor activity","MADF","","TFscore=NA"
"Adf1","FBgn0000054","DNA-binding with transcription factor activity","BESS|MADF","High","TFscore=1"
"Aef1","FBgn0005694","DNA-binding with transcription factor activity","zf-C2H2","High","TFscore=1"
"al","FBgn0000061","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"Alh","FBgn0261238","DNA-binding with transcription factor activity","","High",""
"alien","FBgn0013746","Co-factor","","",""
"aly","FBgn0004372","Chromatin regulation","","",""
"amos","FBgn0003270","DNA-binding with transcription factor activity","HLH","High","TFscore=5"
"Antp","FBgn0260642","DNA-binding with transcription factor activity","Homeobox","High","TFscore=1"
"aop","FBgn0000097","DNA-binding with transcription factor activity","Ets","High","TFscore=2"
"ap","FBgn0267978","DNA-binding with transcription factor activity","Homeobox","High","TFscore=1"
"apt","FBgn0015903","DNA-binding with transcription factor activity","SANT","High","TFscore=1"
"ara","FBgn0015904","DNA-binding with transcription factor activity","Homeobox","High","TFscore=1"
"Arc42","FBgn0038742","Co-factor","","",""
"Asciz","FBgn0035407","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"ase","FBgn0000137","DNA-binding with transcription factor activity","HLH","High","TFscore=2"
"ash1","FBgn0005386","DNA-binding with transcription factor activity","AT_hook","","TFscore=NA"
"ash2","FBgn0000139","Chromatin regulation","","",""
"Asx","FBgn0261823","Chromatin regulation","","",""
"Atac1","FBgn0031876","DNA-binding with transcription factor activity","","Medium",""
"Atac2","FBgn0032691","Maybe TF","","",""
"Atac3","FBgn0052343","DNA-binding with transcription factor activity","","",""
"ATbp","FBgn0039946","DNA-binding with transcription factor activity","zf-C2H2","High","TFscore=4"
"Atf-2","FBgn0265193","DNA-binding with transcription factor activity","bZIP","High","TFscore=3"
"Atf3","FBgn0028550","DNA-binding with transcription factor activity","bZIP","Medium","TFscore=6"
"Atf6","FBgn0033010","DNA-binding with transcription factor activity","bZIP","Medium","TFscore=6"
"ato","FBgn0010433","DNA-binding with transcription factor activity","HLH","High","TFscore=2"
"Awh","FBgn0013751","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"az2","FBgn0025185","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"B-H1","FBgn0011758","DNA-binding with transcription factor activity","Homeobox","High","TFscore=1"
"B-H2","FBgn0004854","DNA-binding with transcription factor activity","Homeobox","High","TFscore=1"
"bab1","FBgn0004870","DNA-binding with transcription factor activity","HTH_psq","High","TFscore=5"
"bab2","FBgn0025525","DNA-binding with transcription factor activity","HTH_psq","High","TFscore=5"
"bap","FBgn0004862","DNA-binding with transcription factor activity","Homeobox","High","TFscore=1"
"Bap170","FBgn0042085","DNA-binding with transcription factor activity","ARID","Medium","TFscore=6"
"Bap55","FBgn0025716","Co-factor","","",""
"Bap60","FBgn0025463","DNA-binding with transcription factor activity","","High",""
"bbx","FBgn0024251","DNA-binding with transcription factor activity","HMG_box","Medium","TFscore=6"
"bcd","FBgn0000166","DNA-binding with transcription factor activity","Homeobox","Medium","TFscore=6"
"BEAF-32","FBgn0015602","DNA-binding with transcription factor activity","BESS|zf-BED","High","TFscore=5"
"betaNACtes3","FBgn0052601","DNA-binding with transcription factor activity","","",""
"betaNACtes6","FBgn0052598","Maybe TF","","",""
"Bgb","FBgn0013753","Co-factor","CBF-beta","","TFscore=NA"
"bi","FBgn0000179","DNA-binding with transcription factor activity","T-box","High","TFscore=2"
"bic","FBgn0000181","DNA-binding with transcription factor activity","","",""
"bigmax","FBgn0039509","DNA-binding with transcription factor activity","HLH","High","TFscore=5"
"bin","FBgn0045759","DNA-binding with transcription factor activity","Fork_head","High","TFscore=1"
"bip2","FBgn0026262","DNA-binding with transcription factor activity","","",""
"Bka","FBgn0010520","Chromatin regulation","","",""
"bl","FBgn0267791","Chromatin regulation","","",""
"Blimp-1","FBgn0035625","DNA-binding with transcription factor activity","zf-C2H2","High","TFscore=1"
"Blos1","FBgn0050077","DNA-binding with transcription factor activity","","Medium",""
"bon","FBgn0023097","Co-factor","","",""
"bowl","FBgn0004893","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"br","FBgn0000210","DNA-binding with transcription factor activity","zf-C2H2","High","TFscore=1"
"Br140","FBgn0033155","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"brat","FBgn0010300","Maybe TF","zf-B_box","","TFscore=NA"
"Brd8","FBgn0039654","DNA-binding with transcription factor activity","","Medium",""
"Brf","FBgn0038499","DNA-binding with transcription factor activity","","",""
"brk","FBgn0024250","DNA-binding with transcription factor activity","BrkDBD","High","TFscore=1"
"brm","FBgn0000212","DNA-binding with transcription factor activity","","",""
"Bro","FBgn0013755","Co-factor","CBF-beta","","TFscore=NA"
"brp","FBgn0259246","DNA-binding with transcription factor activity","","Medium",""
