"" "gene_symbol"
"FBgn0015380" "drl"
"FBgn0010356" "Taf5"
"FBgn0266023" "lncRNA:CR44788"
"FBgn0250732" "gfzf"
"FBgn0034710" "Alp7"
"FBgn0033672" "rho-7"
"FBgn0266027" "asRNA:TS15"
"FBgn0263488" "snmRNA:CR43603"
"FBgn0264879" "lncRNA:CR44070"
"FBgn0263049" "lncRNA:let7C"
"FBgn0264618" "lncRNA:CR43958"
"FBgn0261786" "mi"
"FBgn0034138" "RpS15"
"FBti0060344" ""
"FBgn0036451" "Helz"
"FBgn0286036" "sisRNA:CR46358"
"FBgn0031250" "Ent1"
"FBtr0304384_df_nrg" ""
"FBti0062641" ""
"FBgn0037409" "Osi24"
"FBgn0027948" "msps"
"FBgn0038675" "CG6013"
"FBti0019591" ""
"FBti0019854" ""
"FBgn0034315" "CG5721"
"FBgn0264900" "lncRNA:CR44091"
"FBgn0000500" "Dsk"
"FBgn0032878" "CG9316"
"FBgn0011974" "tRNA:Ser-AGA-1-1"
"FBgn0259184" "CG42288"
"FBgn0030319" "CG2533"
"FBgn0029878" "Pat1"
"FBgn0026324" "Taf10b"
"FBti0061104" ""
"FBgn0031255" "BBS8"
"FBgn0266224" "lncRNA:CR44919"
"FBgn0000566" "Eip55E"
"FBgn0053878" "His2B:CG33878"
"FBti0020188" ""
"FBgn0030665" "CG15646"
"FBgn0036597" "CG4962"
"FBti0063456" ""
"FBgn0033019" "CG10395"
"FBti0059766" ""
"FBgn0035687" "Prdm13"
"FBgn0267986" "lncRNA:CR46253"
"FBgn0260986" "mei-38"
"FBti0062408" ""
"FBti0061285" ""
"FBti0061030" ""
"FBgn0035921" "CG13305"
"FBti0063420" ""
"FBgn0262960" "CG43271"
"FBgn0003448" "sna"
"FBti0064057" ""
"FBti0060272" ""
"FBti0064281" ""
"FBgn0040747" "CG12853"
"FBgn0036211" "CG5946"
"FBgn0036090" "CG8009"
"FBgn0020307" "dve"
"FBgn0052357" "tRNA:Met-CAT-1-4"
"FBgn0031268" "cold"
"FBgn0027495" "Smyd4-4"
"FBtr0304352_df_nrg" ""
"FBgn0261504" "7SLRNA:CR42652"
"FBtr0304529_df_nrg" ""
"FBgn0003378" "Sgs8"
