"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"26-29-p","FBgn0250848","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"Acp1","FBgn0014454","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"Acp65Aa","FBgn0020765","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; R&R Chitin-binding-domain-containing Proteins"
"Actbeta","FBgn0024913","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","Secreted Factors","","TGFb Family"
"AdamTS-A","FBgn0286071","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","ADAMTS"
"AdamTS-B","FBgn0029791","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","ADAMTS"
"Ama","FBgn0000071","Drosophila Matrisome Genes","ECM-affiliated","",""
"amon","FBgn0023179","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","",""
"ana","FBgn0011746","Drosophila Matrisome Genes","ECM Glycoproteins","",""
"AnxB10","FBgn0000084","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","Annexin"
"AnxB11","FBgn0030749","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","Annexin"
"AnxB9","FBgn0000083","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","Annexin"
"aos","FBgn0004569","Drosophila Matrisome Genes","Secreted Factors","",""
"atk","FBgn0036995","Drosophila Matrisome Genes","ECM Glycoproteins","","Ciliary Matrix"
"bnl","FBgn0014135","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","Secreted Factors","","FGF Family"
"Burs","FBgn0038901","Drosophila Matrisome Genes","Secreted Factors","",""
"c12.2","FBgn0040234","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","",""
"C901","FBgn0021742","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","",""
"cathD","FBgn0029093","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"Ccn","FBgn0052183","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","",""
"Ccp84Aa","FBgn0004783","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; R&R Chitin-binding-domain-containing Proteins"
"Ccp84Ab","FBgn0004782","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; R&R Chitin-binding-domain-containing Proteins"
"Ccp84Ac","FBgn0004781","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; R&R Chitin-binding-domain-containing Proteins"
"Ccp84Ad","FBgn0004780","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; R&R Chitin-binding-domain-containing Proteins"
"Ccp84Ae","FBgn0004779","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; R&R Chitin-binding-domain-containing Proteins"
"Ccp84Af","FBgn0004778","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"Ccp84Ag","FBgn0004777","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; R&R Chitin-binding-domain-containing Proteins"
"Cda4","FBgn0052499","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins; Chitin Deacetylase"
"Cda5","FBgn0051973","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins; Chitin Deacetylase"
"Cda9","FBgn0034197","Drosophila Matrisome Genes","Apical Matrix","","Chitin Deacetylase"
"cer","FBgn0034443","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"CG10140","FBgn0036363","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG10154","FBgn0036361","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG10359","FBgn0035452","Drosophila Matrisome Genes","ECM-affiliated","","Fibrinogen-domain-containing Proteins"
"CG10725","FBgn0036362","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG11211","FBgn0033067","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG1136","FBgn0035490","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG11374","FBgn0031214","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","Galectin"
"CG11459","FBgn0037396","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"CG11570","FBgn0036230","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG11674","FBgn0030551","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"CG11828","FBgn0039616","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG12009","FBgn0035430","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG12111","FBgn0030050","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG12594","FBgn0037941","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"CG13040","FBgn0036608","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG13041","FBgn0036605","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG13042","FBgn0036602","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG13043","FBgn0036600","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG13044","FBgn0036599","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG13056","FBgn0040794","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG13059","FBgn0036607","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG13060","FBgn0036606","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG13063","FBgn0036601","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG13075","FBgn0036563","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG13086","FBgn0032770","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG13138","FBgn0032211","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG13308","FBgn0035932","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG13309","FBgn0035933","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG13312","FBgn0035931","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG13587","FBgn0035031","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG13643","FBgn0040601","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG13670","FBgn0035873","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG13675","FBgn0035845","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG13676","FBgn0035844","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG13806","FBgn0035325","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG13837","FBgn0039042","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG13950","FBgn0031289","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","Galectin"
"CG13965","FBgn0032834","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","",""
"CG14089","FBgn0036861","Drosophila Matrisome Genes","ECM-affiliated","","Collagen-domain-containing Proteins"
"CG14125","FBgn0036232","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG14132","FBgn0040817","Drosophila Matrisome Genes","Secreted Factors","",""
"CG14244","FBgn0040607","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG14245","FBgn0039452","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG14247","FBgn0039454","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG14300","FBgn0038643","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG14301","FBgn0038632","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG14304","FBgn0038629","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG14309","FBgn0038611","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","",""
"CG14499","FBgn0034317","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG14500","FBgn0034318","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG14607","FBgn0037488","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG14645","FBgn0040687","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG14762","FBgn0033250","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","",""
"CG14866","FBgn0038315","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG14879","FBgn0038419","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","Galectin"
"CG14880","FBgn0038422","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG14957","FBgn0035412","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG15080","FBgn0034391","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","",""
"CG15199","FBgn0030270","Drosophila Matrisome Genes","Secreted Factors","",""
"CG15201","FBgn0030272","Drosophila Matrisome Genes","Secreted Factors","",""
"CG15202","FBgn0030271","Drosophila Matrisome Genes","Secreted Factors","",""
"CG15203","FBgn0030261","Drosophila Matrisome Genes","Secreted Factors","",""
"CG15358","FBgn0031373","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG15515","FBgn0039719","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG1552","FBgn0030258","Drosophila Matrisome Genes","Secreted Factors","",""
"CG15539","FBgn0039782","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG15754","FBgn0030492","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG15756","FBgn0030493","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG15765","FBgn0029814","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG15818","FBgn0031910","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG15864","FBgn0040528","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG17145","FBgn0036953","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG17147","FBgn0260393","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG17211","FBgn0032414","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","",""
"CG17672","FBgn0083978","Drosophila Matrisome Genes","Secreted Factors","",""
"CG17739","FBgn0033710","Homologs/Orthologs to Mammalian Core Matrisome Genes","ECM Glycoproteins","","Spondin"
"CG17826","FBgn0036227","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG1791","FBgn0030163","Drosophila Matrisome Genes","ECM-affiliated","","Fibrinogen-domain-containing Proteins"
