"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"aft","FBgn0026309","FGFR signaling pathway","other","",""
"Akt1","FBgn0010379","INSULIN signaling pathway","other","",""
"AMPKalpha","FBgn0023169","INSULIN signaling pathway","other","",""
"aop","FBgn0000097","EGFR and PVR RTK signaling pathway","TF","",""
"aop","FBgn0000097","FGFR signaling pathway","TF","",""
"aop","FBgn0000097","TNF alpha signaling pathway","TF","",""
"aos","FBgn0004569","EGFR and PVR RTK signaling pathway","ligand","",""
"Apc","FBgn0015589","WNT signaling pathway","other","",""
"Apc2","FBgn0026598","WNT signaling pathway","other","",""
"aph-1","FBgn0031458","NOTCH signaling pathway","other","",""
"arm","FBgn0000117","WNT signaling pathway","TF","",""
"arr","FBgn0000119","WNT signaling pathway","receptor","",""
"Axn","FBgn0026597","WNT signaling pathway","other","",""
"babo","FBgn0011300","TGF beta signaling pathway","receptor","",""
"ben","FBgn0000173","Imd pathway","","",""
"bib","FBgn0000180","NOTCH signaling pathway","other","",""
"bnl","FBgn0014135","FGFR signaling pathway","ligand","",""
"boca","FBgn0004132","WNT signaling pathway","other","",""
"Brd","FBgn0000216","NOTCH signaling pathway","other","",""
"brn","FBgn0000221","NOTCH signaling pathway","other","",""
"bsk","FBgn0000229","Imd pathway","","",""
"bsk","FBgn0000229","Planar Cell Polarity pathway","","",""
"bsk","FBgn0000229","TNF alpha signaling pathway","other","",""
"Btk29A","FBgn0003502","TNF alpha signaling pathway","other","",""
"btl","FBgn0005592","FGFR signaling pathway","receptor","",""
"cact","FBgn0000250","Toll pathway","","",""
"CAP","FBgn0033504","INSULIN signaling pathway","other","",""
"casp","FBgn0034068","Imd pathway","","",""
"Cbl","FBgn0020224","EGFR and PVR RTK signaling pathway","other","",""
"Cdc42","FBgn0010341","TNF alpha signaling pathway","other","",""
"CG10176","FBgn0032682","TNF alpha signaling pathway","receptor","","submitted by user, PMID=25874673"
"chico","FBgn0024248","INSULIN signaling pathway","other","",""
"ci","FBgn0004859","HEDGEHOG signaling pathway","TF","",""
"Cka","FBgn0044323","Imd pathway","","",""
"Cka","FBgn0044323","Planar Cell Polarity pathway","","",""
"Cka","FBgn0044323","TNF alpha signaling pathway","other","",""
"CkIalpha","FBgn0015024","WNT signaling pathway","other","",""
"CkIIalpha","FBgn0264492","Circadian Clock pathway","NCore","",""
"CkIIbeta","FBgn0000259","Circadian Clock pathway","NCore","",""
"Clk","FBgn0023076","Circadian Clock pathway","Core","",""
"cnk","FBgn0021818","EGFR and PVR RTK signaling pathway","other","",""
"cnk","FBgn0021818","FGFR signaling pathway","other","",""
"cno","FBgn0259212","TNF alpha signaling pathway","other","",""
"cos","FBgn0000352","HEDGEHOG signaling pathway","other","",""
"cry","FBgn0025680","Circadian Clock pathway","Core","",""
"csw","FBgn0000382","EGFR and PVR RTK signaling pathway","other","",""
"Cul1","FBgn0015509","Imd pathway","","",""
"cwo","FBgn0259938","Circadian Clock pathway","Core","",""
"cyc","FBgn0023094","Circadian Clock pathway","Core","",""
"d","FBgn0262029","HIPPO signaling pathway","other","",""
"d","FBgn0262029","Planar Cell Polarity pathway","","",""
"DAAM","FBgn0025641","Planar Cell Polarity pathway","","",""
"Dad","FBgn0020493","TGF beta signaling pathway","TF","",""
"dally","FBgn0263930","HEDGEHOG signaling pathway","receptor","",""
"dally","FBgn0263930","WNT signaling pathway","receptor","",""
"dco","FBgn0002413","Circadian Clock pathway","Core","",""
"dco","FBgn0002413","HIPPO signaling pathway","other","",""
"dgo","FBgn0086898","Planar Cell Polarity pathway","","",""
"Diap2","FBgn0015247","Imd pathway","","",""
"Dif","FBgn0011274","Toll pathway","","",""
"Dl","FBgn0000463","NOTCH signaling pathway","ligand","",""
"dl","FBgn0260632","Toll pathway","","",""
